frame,matches_ratio,inliers_ransac,epi_med_desc,epi_mean_desc,epi_med_geom,epi_mean_geom,pnp_matches,pnp_inliers,pnp_rmse_before,pnp_rmse_after,loop_kf,loop_inliers,map_points
0,0,0,nan,nan,nan,nan,0,0,nan,nan,-1,0,0
1,907,843,0.0009960402385621318,0.5434183653391831,7.437782732656683e-28,0.02874037946305544,0,0,nan,nan,-1,0,23
2,795,731,0.004804198317018049,0.15266906737222583,2.8376005472438206e-28,0.027566946493353138,0,0,nan,nan,-1,0,40
3,947,916,0.00021016813553461017,0.09184944145717695,2.0356689099753863e-27,0.014291473795422716,0,0,nan,nan,-1,0,62
4,897,861,0.000657480959848276,0.13558619246163647,5.2041116093079035e-27,0.024829771730037864,0,0,nan,nan,-1,0,89
5,881,813,0.009577786083491482,0.4027935526779504,1.0368484162359402e-26,0.0254032899883872,0,0,nan,nan,-1,0,109
6,910,854,0.004474327786725441,0.35662322729155727,1.012355004605461e-27,0.031543954736952796,0,0,nan,nan,-1,0,109
7,939,907,0.0005687503646239115,0.08721143831300855,1.7966358498550066e-27,0.018553954718000386,0,0,nan,nan,-1,0,139
8,910,866,0.001279750860304379,0.11164623423385146,3.1734267811923764e-26,0.0244856529487355,0,0,nan,nan,-1,0,194
9,947,915,9.252960874376715e-05,0.06281665973213811,9.083159088220144e-28,0.018868850892351532,0,0,nan,nan,-1,0,577
10,774,692,0.11375125634583423,0.24319078874853492,1.580084753479494e-26,0.018901346596696633,807,317,1.8590303402551758,1.8206764053563145,-1,0,969
11,731,536,0.1336587349416302,0.4694991398218254,6.187472757820507e-28,0.09722160738450492,0,0,nan,nan,-1,0,969
12,770,659,0.01884627931295843,1.4289584676355664,1.4316901170227878e-28,0.030548978133841675,0,0,nan,nan,-1,0,969
13,714,569,0.1266663131165543,1.3937013358845531,0.06950165204151422,0.12117477924877894,0,0,nan,nan,-1,0,969
14,732,589,0.05483495612562675,0.40879265949541604,0.042335363180685745,0.09584356132769031,0,0,nan,nan,-1,0,969
15,731,565,0.13398054297837675,4.612720448684672,0.04307501064085908,0.11688659946541895,0,0,nan,nan,-1,0,1374
16,747,646,0.09128889772895492,1.3514093108556007,3.9945639782823145e-28,0.03720244828826641,0,0,nan,nan,-1,0,1818
17,742,626,0.03450798366518188,0.45446311776135057,0.028095838128847174,0.08545431325103708,0,0,nan,nan,-1,0,2274
18,747,641,0.01894490528969695,0.3138239726918456,8.398470706907157e-28,0.050274611668549574,0,0,nan,nan,-1,0,2699
19,730,613,0.05234196581806493,1.3371598540909935,0.002925912419027597,0.045644167849468946,0,0,nan,nan,-1,0,3132
20,742,671,0.01627079087887806,0.42282650005584305,0.06110058345814965,0.0945188630837167,2703,264,14.369115207031452,3.5576349772519156,-1,0,3539
21,614,455,0.15860960077110448,0.7327209834607751,0.08873324242349087,0.13320269738359855,0,0,nan,nan,-1,0,3707
22,595,460,0.12132048567329441,1.0322311561229034,0.06969185064602683,0.1273585658130649,0,0,nan,nan,-1,0,3879
23,613,496,0.09734044752712481,1.255255706656466,0.05600428737022188,0.11511919666278429,0,0,nan,nan,-1,0,4355
24,590,454,0.09009604723315442,0.3068347467334177,0.07440678797211672,0.123700322144547,0,0,nan,nan,-1,0,4770
25,625,480,0.10785233270048854,0.5182590650060772,0.08361883539019821,0.12144895652033146,0,0,nan,nan,-1,0,5130
26,657,495,0.1279114864492533,0.7964848949122441,0.07939116565985886,0.13543643455837182,0,0,nan,nan,-1,0,5482
27,590,486,0.10560888817734093,0.6972595357211353,0.035071364449541426,0.0858148003795116,0,0,nan,nan,-1,0,5807
28,605,524,0.033794170375053695,0.5577370335145974,9.052409302023281e-27,0.04594612285589382,0,0,nan,nan,-1,0,6026
29,587,506,0.049698255296695075,0.559744548492446,0.033136304045270876,0.0869607215630015,0,0,nan,nan,-1,0,6130
30,453,326,0.14478521469687966,0.878755441862952,0.09097571204894767,0.14645405029999137,2125,131,1.8839563219225899,1.6197148813303492,-1,0,6130
31,395,310,0.19945101335652685,17.353920201143044,0.07607158538468428,0.12974059780361807,0,0,nan,nan,-1,0,6130
32,379,279,0.14405911721605555,2.722535179890477,0.10159169211601861,0.13620495426464688,0,0,nan,nan,-1,0,6130
33,310,244,0.1515877806378003,1.2171315952682558,0.07402987909544669,0.12771222559704234,0,0,nan,nan,-1,0,6130
34,367,310,0.0861954726397719,0.5176734797499308,3.5131734391866526e-28,0.052065594213001644,0,0,nan,nan,-1,0,6130
35,469,382,0.07899179110209667,0.8025052835504187,0.024727983358453713,0.09423351016074472,0,0,nan,nan,-1,0,6130
36,457,385,0.06680399264064187,1.2098514226510733,7.608593353340607e-28,0.036693808642163074,0,0,nan,nan,-1,0,6130
37,465,415,0.06112550497333492,0.9847253173450466,3.9456913675783797e-28,0.03625378123996668,0,0,nan,nan,-1,0,6130
38,411,325,0.13956688298985565,1.174913601745816,0.08650506785188086,0.13336392081395307,0,0,nan,nan,-1,0,6130
39,363,304,0.15041531189964744,1.9696663491550044,2.064990055070262e-27,0.07306838143674,0,0,nan,nan,-1,0,6130
40,345,275,0.09704695289012533,0.32634793412843005,0.051875007275055486,0.10947748679153213,1132,167,1.7748155341679195,1.6272732063865563,-1,0,6130
41,350,277,0.06973873972096276,0.5688023726135795,0.08395846054946773,0.12988978717142613,0,0,nan,nan,-1,0,6232
42,336,248,0.22432682648208346,2.6858753467532956,0.07953203767460347,0.13038608659997922,0,0,nan,nan,-1,0,6298
43,326,254,0.11936044650562748,0.9703051457251365,0.10379953367965535,0.140237540184791,0,0,nan,nan,-1,0,6436
